company_name,url,description,founders,funding_info,latest_funding_date,total_funding,key_investors,location,headquarters,social_links,success
Range Ventures,https://www.range.vc,"Denver-based venture capital firm supporting technical founders in software and hardware startups; co-founded by Chris Erickson, a technical entrepreneur[3].","Chris Erickson, Adam Burrows","[{'round': 'Fund II', 'amount': '$39 million', 'year': '2024'}, {'round': 'Fund I', 'amount': '$23 million', 'year': '2020'}]",2024-10,$62 million,"Brad Feld, Seth Levine, Lee Mayer, Bryan Leach, Rachel Romer Carlson, Bijal Shah, S-Cubed Capital, Eric Roza","Denver, CO","1312 17th St Ste 618, Denver, CO 80202, United States","linkedin: Not found, crunchbase: https://www.cbinsights.com/investor/range-ventures",Yes
Fluint,https://fluint.io,AI-powered sales collaboration platform helping teams close deals faster; recently raised $2.4M in seed funding[3].,Nate Nasralla,"Seed: $1.6M on December 11, 2023; Seed: $2.4M on August 12, 2025; Total: $4M",2025-08,$4M,,"Denver, CO","1900 Grant Street, Ste 510, Denver, CO 80203, United States","linkedin: Not found, crunchbase: Not found",Yes
Buderflys,https://buderflys.com,Audio technology startup developing innovative earbuds designed for comfort and sound quality; recently funded at the seed stage[11].,Shea Gerhardt,"Seed round, $2,750,000, Not found, 2018",2018,"$2,750,000",,"Denver, CO","560 N Marion Street, Denver, Colorado 80218, United States","facebook: https://www.facebook.com/buderflys.earbuds/, twitter: https://twitter.com/buderflys, instagram: https://www.instagram.com/buderflys.earbuds/, linkedin: https://www.linkedin.com/company/buderflys-technologies-inc/, crunchbase: Not found",Yes
Elenas,https://www.elenas.com,"Social commerce platform empowering women entrepreneurs in Latin America, Colorado-based and recently raised funding[7].",Zach Oschin,"[{'round': 'Seed', 'amount': '$2 million', 'year': 2020, 'investors': ['Meesho', 'Alpha4 Ventures', 'Amador Holdings', 'Polymath Ventures']}, {'round': 'Series A', 'amount': '$6 million', 'year': 2021, 'investors': ['Leo Capital', 'FJ Labs', 'Alpha4 Ventures', 'Meesho']}, {'round': 'Series B', 'amount': '$20 million', 'year': 2022, 'lead_investor': 'DILA Capital', 'other_investors': ['FJ Labs', 'Endeavor Catalyst', 'IDB Lab', 'Broadhaven Ventures', 'Mercado Libre', 'Grupo Bolivar', 'Leo Capital']}]",2022,$28 million,"Meesho, Alpha4 Ventures, Leo Capital, FJ Labs, DILA Capital","Bogotá, Colombia","Calle 74 No. 11 - 91, Bogotá, Colombia","linkedin: Not found, crunchbase: https://crunchbase.com/organization/elenas",Yes
Bond Pet Foods,https://www.bondpets.com,Biotechnology startup creating animal-free pet food proteins using cellular agriculture; received seed funding in the last five years[9].,"Rich Kelleman, Pernilla Audibert","[{'round': 'Seed', 'amount': '$1.2 million', 'lead_investor': 'Lever VC', 'year': '2019'}, {'round': 'Convertible Note', 'amount': '$1.3 million', 'lead_investor': 'KBW Ventures', 'year': '2020'}, {'round': 'Series A', 'amount': '$17.5 million', 'lead_investor': 'ADM Ventures', 'year': '2022'}]",2022-06,$18.7 million,"Lever VC, KBW Ventures, ADM Ventures, Cavallo Ventures, Genoa Ventures, Thia Ventures, iSelect Fund, Stage 1 Fund, Lifely VC, Satori Capital, Andante Asset Management","Boulder, CO","3200 Carbon Place, Suite 104, Boulder, Colorado 80301, United States","instagram: https://www.instagram.com/reel/Cq8EfGpKJEW/, facebook: https://www.facebook.com/bondpetfoods, twitter: https://twitter.com/bondpetfoods, linkedin: https://www.linkedin.com/company/bondpetfoods, crunchbase: Not found",Yes
Left Hand Robotics,https://lefthandrobotics.com,Robotics company developing autonomous outdoor robots for snow removal and lawn mowing; recently received seed funding[9].,"Terry Olkin, Mike Ott","[{'round': 'Seed', 'amount': 'Not disclosed', 'lead_investor': 'Not found', 'year': 'Not found'}, {'round': 'Series A', 'amount': '$3.6 million', 'lead_investor': 'Catapult Ventures', 'year': '2019'}, {'round': 'Not found', 'amount': 'Not found', 'lead_investor': 'Not found', 'year': 'Not found'}]",2019-08,$8.9 million,Catapult Ventures,"Longmont, CO","1880 Industrial Circle, Suite E, Longmont, Colorado, 80501, United States","linkedin: Not found, crunchbase: Not found",Yes
Parsyl,https://www.parsyl.com/,"Parsyl provides real-time supply chain visibility and data analytics for life sciences and logistics, helping companies monitor and protect temperature-sensitive products.","Ben Hubbard, Alex Haar, Mike Linton","[{'round': 'Series C', 'amount': '$20 million', 'lead_investor': 'The Lightsmith Group', 'year': '2025'}, {'round': 'Series B', 'amount': '$25 million', 'lead_investor': 'HSCM Ventures', 'year': '2022'}]",2025-01,$66 million,"The Lightsmith Group, HSCM Ventures, GLP Capital Partners, Lineage Ventures, FirstTracks Ventures","Denver, CO","2800 Walnut Street, Suite 300, Denver, CO 80205","linkedin: Not found, crunchbase: Not found",Yes
H3X Technologies,https://www.h3x.tech/,H3X Technologies is advancing manufacturing through innovative electric propulsion and power systems for aerospace and defense applications.,"Jason Sylvestre, Max Liben, Eric Maciolek","[{'round': 'Series A', 'amount': '$20 million', 'lead_investor': 'Infinite Capital', 'year': '2024'}]",2024-08,$20 million,"Infinite Capital, Hanwha Asset Management, Cubit Capital, Origin Ventures, Industrious Ventures, Venn10 Capital, Lockheed Martin Ventures, Metaplanet, Liquid 2 Ventures, TechNexus","Louisville, CO","410 S Arthur Ave, Louisville, Colorado 80027","linkedin: https://www.linkedin.com/company/h3x-technologies/, twitter: https://x.com/h3x_tech, crunchbase: https://www.crunchbase.com/organization/h3x-technologies",Yes
Growlink,https://www.growlink.com/,"Growlink offers smart irrigation and automation solutions for agriculture, helping growers optimize water use and crop yields.","Ted Tanner, David Holmes","Seed round: $2 million, Lead investor: Casa Verde, Year: 2024",2024-08,$2 million,Casa Verde,"Denver, CO","1675 Larimer Street, Suite 820, Denver, Colorado, 80202","linkedin: Not found, crunchbase: Not found",Yes
Peak Energy,https://www.peakenergy.com/,"Peak Energy is an energy company focused on developing and deploying clean energy solutions, including solar and storage technologies.","Landon Mossburg, Cameron Dales, Liam O’Connor","[{'round': 'Seed', 'amount': '$10 million', 'lead_investor': 'Eclipse', 'year': 2023}, {'round': 'Series A', 'amount': '$55 million', 'lead_investor': 'Xora Innovation (Temasek)', 'year': 2024}]",2024-07,$65 million,"Xora Innovation (Temasek), Eclipse, TDK Ventures, Lachy Groom, Tishman Speyer, TechEnergy Ventures, Doral Energy-Tech Ventures, DETV-Scania Invest","Broomfield, CO","100 Technology Dr, Suite 200, Broomfield, CO 80021, USA","linkedin: https://www.linkedin.com/feed/update/urn:li:activity:7317986544961675264/, crunchbase: https://www.crunchbase.com/organization/peak-energy",Yes
Credit Pulse,https://www.creditpulse.com/,Credit Pulse offers data-driven credit risk analytics and decisioning tools for lenders and financial institutions.,Jordan Esbin,"Seed round, amount not disclosed, led by Amplo, supported by Purdue Strategic Ventures, announced in 2024.",2024,Not found,"Amplo, Purdue Strategic Ventures","Denver, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
Prins AI,https://prins.ai,"Develops deep learning technology for digital identity training platforms, enabling creation of digital human identities for video content; raised $100M Series B in October 2023[5].",Dr. Sophia Chen,"[{'round': 'Series A', 'amount': '$10M', 'lead_investor': 'Not specified', 'year': 'Not specified'}, {'round': 'Series A+', 'amount': '$22M', 'lead_investor': 'Not specified', 'year': '2023'}, {'round': 'Series B', 'amount': '$100M', 'lead_investor': 'AAB Venture Capital', 'year': '2023'}]",2023-10,$132M,"AAB Venture Capital, Kleiner Perkins, Base10 Partners, Paradigm","Lakewood, CO","499 South Vance Street, Lakewood, Colorado, 80226, United States","linkedin: Not found, crunchbase: Not found",Yes
AgentSync,https://agentsync.io,"Provides infrastructure and compliance management solutions for insurance carriers, agencies, and MGAs; raised $50M Series B in October 2023[5][13].","Niranjan “Niji” Sabharwal, Jenn Knight","[{'round': 'Seed', 'amount': '$4.4M', 'lead_investors': ['Caffeinated Capital', 'Elad Gil'], 'year': 2020}, {'round': 'Seed', 'amount': '$6.7M', 'lead_investors': ['Craft Ventures'], 'year': 2020}, {'round': 'Series A', 'amount': '$25M', 'lead_investors': ['Craft Ventures', 'Elad Gil'], 'year': 2021}, {'round': 'Series B', 'amount': '$75M', 'lead_investors': ['Valor Equity Partners'], 'year': 2021}, {'round': 'Series B Extension', 'amount': '$50M', 'lead_investors': ['Craft Ventures', 'Valor Ventures'], 'year': 2023}]",2023-10,$161M,"Craft Ventures, Valor Equity Partners, Elad Gil, Caffeinated Capital, Tiger Global Management, SciFi VC","Denver, CO","3601 Walnut Street, Suite 450, Denver, Colorado 80205, United States","linkedin: Not found, crunchbase: Not found",Yes
Splash Sports,https://splashsports.com,"Operates a platform for fantasy sports and gaming, enabling users to create and manage sports contests; raised Series B funding in October 2025[1].","Joel Milton, T.J. Ross","[{'round': 'Series B', 'amount': '$14.5 million', 'lead_investor': 'Dream Ventures', 'year': 2025}, {'round': 'Series A2', 'amount': '$14 million', 'investors': ['Acies Investments', 'K5 Global', 'Accomplice'], 'year': 2024}]",2025-10,$28.5 million,"Dream Ventures, Boston Seed, Velvet Sea Ventures, Green Wave Ventures, Evolution Partners, EP Golf Ventures","Denver, CO","383 Corona Street, Unit 819, Denver, Colorado, 80220, United States","linkedin: Not found, crunchbase: Not found",Yes
Ursa Major Technologies,https://www.ursamajortechnologies.com,Designs and manufactures rocket propulsion systems for space launch and hypersonics; raised Series C funding[17].,Joe Laurienti,"[{'round': 'Series A', 'amount': '$8,025,776', 'lead_investors': 'Not found', 'year': '2015'}, {'round': 'Series B', 'amount': '$25,300,000', 'lead_investors': 'Alpha Edison, Space Capital, Morgan Brook Capital, Conconi Growth Partners, Marc Bell Capital, Dylan Taylor', 'year': '2020-2021'}, {'round': 'Series C', 'amount': '$85,000,000', 'lead_investors': 'BlackRock, XN, Explorer 1 Fund, Alsop Louie Partners, Alpha Edison, Dolby Family Ventures, Space Capital', 'year': '2021'}, {'round': 'Series D', 'amount': 'Not found', 'lead_investors': 'Eclipse Ventures, Space Capital, BlackRock, Alumni Ventures Group, Chenel Capital', 'year': 'Not found'}, {'round': 'Series E', 'amount': '$100,000,000', 'lead_investors': 'Eclipse, Woodline Partners, Principia Growth, XN, Alsop Louie Partners', 'year': '2025'}]",2025-11,"$318,325,776","BlackRock, Eclipse Ventures, Alpha Edison, Space Capital, Woodline Partners","Berthoud, CO","19750 County Road 7, Berthoud, Colorado, 80513, United States","linkedin: Not found, crunchbase: Not found",Yes
Pie Insurance,https://pieinsurance.com,"**Insurtech startup** providing workers’ compensation insurance for small businesses, using data-driven pricing. Denver-based, recently raised a large Series D[9][13].","John Swigart, Dax Craig","[{'round': 'Series A', 'amount': '$11 million', 'lead_investors': 'Not explicitly stated', 'year': '2018'}, {'round': 'Series B', 'amount': '$45 million', 'lead_investors': 'SVB Capital', 'year': '2019'}, {'round': 'Series B Extension', 'amount': '$127 million', 'lead_investors': 'Gallatin Point Capital', 'year': '2020'}, {'round': 'Series C', 'amount': '$118 million', 'lead_investors': 'Allianz X, Acrew Capital', 'year': '2021'}, {'round': 'Series D', 'amount': '$315 million', 'lead_investors': 'Centerbridge Partners, Allianz X', 'year': '2022'}]",2022-09,$615 million,"Allianz X, Acrew Capital, SVB Capital, Greycroft, Gallatin Point Capital, SiriusPoint, Aspect Ventures, Elefund, Moxley Holdings, White Mountains Insurance Group","Denver, CO","1755 Blake Street, 5th Floor, Denver, CO 80202","linkedin: https://www.linkedin.com/company/pie-insurance, crunchbase: Not found",Yes
Uplight,https://uplight.com,"**Energy management and customer engagement solutions** for utilities, helping reduce energy consumption and improve grid efficiency. Boulder-based, recently funded for product expansion[9][12].",Adrian Tuck,"[{'round': 'Convertible Note', 'amount': '$39 million', 'lead_investors': 'Not specified', 'year': '2025'}, {'round': 'Series B', 'amount': 'Not specified', 'lead_investors': 'Schneider Electric, AES Corporation', 'year': '2021'}, {'round': 'Series A', 'amount': 'Not specified', 'lead_investors': 'Not specified', 'year': 'Not specified'}]",2025-03,$189.19 million,"Schneider Electric, AES Corporation, Huck Capital, Coatue, Inclusive Capital Partners, VantagePoint Capital Partners, RRE Ventures, Vista Ventures, Access Venture Partners, Appian Ventures, Good Energies, Siemens Venture Capital (SVC), GE Ventures, SunPower, ENGIE New Ventures, Rubicon Technology Partners, Morgan Stanley Alternative Investments, Zoma Capital, Greenstart","Boulder, CO","2490 Junction Place, Suite 300, Boulder, CO 80301","linkedin: https://www.linkedin.com/company/uplightenergy, crunchbase: Not found",Yes
Otter Products,https://otterproducts.com,"**Consumer electronics accessories company** known for OtterBox cases, expanding into new product lines. Fort Collins-based, recently received growth investment[9].","Curt Richardson, Nancy Richardson",Not found,Not found,Not found,,"Fort Collins, CO","209 South Meldrum Street, Fort Collins, Colorado 80521","linkedin: https://www.linkedin.com/company/otterproducts/, crunchbase: Not found",Yes
Wurk,https://enjoywurk.com,"**HR and payroll platform for the cannabis industry**, offering compliance and workforce management tools. Denver-based, recently funded for national rollout[13].",Keegan Peterson,"[{'round': 'Seed', 'amount': '$2–3M', 'lead_investors': ['Poseidon Asset Management', 'Phyto Partners', 'Salveo Capital', 'Arcview'], 'year': '2017-2018'}, {'round': 'Bridge', 'amount': '$3.2M', 'lead_investors': ['Poseidon Asset Management', 'Phyto Partners', 'Altitude Investment Partners', 'Arcview', 'Arcadian Fund'], 'year': '2018'}, {'round': 'Series A', 'amount': '$3.5M', 'lead_investors': ['Wurk Investment Partnership', 'ArcView Group', 'Poseidon Asset Management', 'Salveo Capital'], 'year': '2020'}, {'round': 'Series A - II', 'amount': '$3.5M', 'lead_investors': ['Wurk Investment Partnership', 'ArcView Group', 'Poseidon Asset Management', 'Salveo Capital'], 'year': '2020'}, {'round': 'Later round', 'amount': '$11M', 'lead_investors': ['Poseidon Asset Management', 'Arcadian Fund', 'Altitude', 'Salveo Capital', 'Phyto Partners', 'The Arcview Group'], 'year': '2021'}]",2021,$21.77 million,"Poseidon Asset Management, ArcView Group, Salveo Capital, Phyto Partners, Altitude Investment Partners, Arcadian Fund, Wurk Investment Partnership LLC","Denver, CO","2162 Market St, Denver, Colorado, 80205, United States","linkedin: Not found, crunchbase: Not found",Yes
Stream,https://getstream.io,"**API platform for chat and activity feeds**, powering messaging in apps and websites. Boulder-based, recently raised funding to expand developer tools[12].",Not found,"[{'round': 'Series A', 'amount': '$15 million', 'lead_investors': ['GGV Capital'], 'year': '2020'}, {'round': 'Series B', 'amount': '$38 million', 'lead_investors': ['Felicis Ventures'], 'year': '2021'}]",2021-03,$53 million,"Felicis Ventures, GGV Capital, 01 Advisors, Knight Capital, Olivier Pomel, Tom Preston-Werner, Johnny Boufarhat, Selcuk Atli","Boulder, CO","1215 Spruce St, Suite 300, Boulder, CO 80302, United States","linkedin: Not found, crunchbase: Not found",Yes
Sweater Ventures,https://www.sweaterventures.com,"Fintech startup offering a venture capital fund accessible to everyone; founded by Chad Lewkowski, Jesse Randall, and Matthew Klein, with investors such as Motivate Venture Capital and Kickstart Fund[","Jesse Randall, Chad Lewkowski, Matthew Klein, Jaron Jones","[{'round': 'Pre-Seed', 'amount': '$2.3 million', 'lead_investors': ['Motivate VC', 'MRTNZ Ventures', 'Bison Ventures', 'Spacestation Investments'], 'year': 2021}, {'round': 'Seed', 'amount': '$12 million', 'lead_investors': ['Motivate VC', 'Akuna Capital'], 'year': 2022}]",2022-01,$14.3 million,"Motivate VC, Akuna Capital, MRTNZ Ventures, Bison Ventures, Spacestation Investments","Boulder, CO","4999 Nautilus Ct, Boulder, Colorado, 80301, United States","linkedin: https://www.linkedin.com/company/sweaterventures/, crunchbase: https://www.crunchbase.com/organization/sweater-ventures",Yes
Tetra Insights,https://www.tetrainsights.com,"Platform for enterprise user research and insights; founded by Michael Bamberger, with investors such as Techstars and Access Venture Partners[5].","Michael Bamberger, Panos Rigopoulos","[{'round': 'Seed', 'amount': '$1.38 million', 'lead_investor': 'Active Capital', 'year': '2020'}, {'round': 'Series A', 'amount': '$5 million', 'lead_investor': 'Access Venture Partners', 'year': '2021'}]",2021-07,$6.5 million,"Active Capital, Access Venture Partners, Next Frontier Capital, HNVR Technology Investment Management","Boulder, CO","4450 Arapahoe Ave, Suite 100, Boulder, CO 80303","linkedin: Not found, crunchbase: Not found",Yes
Kickfurther,https://www.kickfurther.com,"Crowdfinancing platform for inventory funding; founded by Sean De Clercq, with investors including Techstars and Foundry Group[5][7].","Sean De Clercq, Erik Straub","Seed Plus round ($5.9M, April 2021): Led by Grand Oaks Capital, with participation from Tim Draper and Bill Tai. Total capital raised: Approximately $10.9 million since founding in 2014.",2021-04,$10.9 million,"Grand Oaks Capital, Tim Draper, Bill Tai, Buffalo Angels, The Revenue Accelerator","Boulder, CO","1215 Spruce St, Suite 201, Boulder, Colorado, 80302, United States","linkedin: Not found, crunchbase: Not found",Yes
Misty Robotics,https://www.mistyrobotics.com,"Robotics company developing personal robots; founded by Ian Bernstein, with investors including Venrock and Foundry Group[5].",Ian Bernstein,"[{'round': 'Series A', 'amount': '$11M', 'lead_investors': ['Venrock', 'Great North Labs', 'Foundry Group'], 'year': '2018'}, {'round': 'Total funding', 'amount': '$25.78M', 'year': 'Not specified'}]",2018-12,$25.78M,"Venrock, Great North Labs, Foundry Group, Techstars Ventures, Furhat Robotics","Boulder, CO","1525 Spruce St, Suite 201, Boulder, Colorado 80302, USA","linkedin: Not found, crunchbase: Not found",Yes
Brandzooka,https://www.brandzooka.com,"Self-serve digital advertising platform; founded by Aquiles La Grave, with investors such as Boulder Ventures and Baseline Ventures[5].","Kelly Dotseth, Aquiles La Grave, Alex Bogusky","[{'round': 'Seed', 'amount': '$1.5 million', 'year': '2017', 'lead_investors': 'Not specified'}, {'round': 'Series A', 'amount': '$5.6 million', 'year': '2020', 'lead_investors': 'Mark IV Capital, Lagomaj Capital, Rockies Venture Fund, Batshit Crazy Ventures, Sweet Moose Enterprises'}]",2020,$10.1 million,"Mark IV Capital, Lagomaj Capital, Rockies Venture Fund, Batshit Crazy Ventures, Sweet Moose Enterprises","Boulder, CO","1900 9th St, Suite 300, Boulder, Colorado 80302, United States","facebook: https://www.facebook.com/Brandzooka/, twitter: https://twitter.com/brandzooka, linkedin: https://www.linkedin.com/company/brandzooka/, crunchbase: https://www.crunchbase.com/organization/brandzooka#/entity",Yes
MagicSchool AI,https://www.magicschool.ai,"AI-powered educational technology startup founded in 2023, building tools to enhance teaching and learning with artificial intelligence[3][7].",Adeel Khan,"[{'round': 'Pre-Seed', 'amount': '$2.4 million', 'lead_investor': 'Range Ventures', 'year': '2023'}, {'round': 'Series A', 'amount': '$15 million', 'lead_investor': 'Bain Capital Ventures', 'year': '2024'}, {'round': 'Series B', 'amount': '$45 million', 'lead_investor': 'Valor Equity Partners', 'year': '2025'}]",2025-02,$62.4 million,"Range Ventures, Bain Capital Ventures, Valor Equity Partners, Adobe Ventures, Common Sense Media","Boulder, CO","4845 Pearl East Cir Ste 118, Boulder, Colorado, 80301, United States","facebook: https://www.facebook.com/magicschoolai/, instagram: https://www.instagram.com/magicschoolai/, twitter: https://x.com/magicschoolai, youtube: https://www.youtube.com/@magicschoolai, linkedin: https://www.linkedin.com/company/magicschool-ai/, crunchbase: https://www.crunchbase.com/organization/magicschool",Yes
Scholarly Software,https://www.scholarlysoftware.com,"Founded in 2020, this company develops AI and machine learning solutions for the food, wellness, and healthcare industries, with $6M in seed funding[3].","Rusty Cowher, Kelly Sutton","{'Seed': {'amount': '$3 million', 'lead_investor': 'Range Ventures', 'year': '2024'}}",2024-07,$4 million,"Range Ventures, Bienville Capital, angel investors","Arvada, CO","7028 West 70th Avenue, Arvada, Colorado, 80003, United States","linkedin: Not found, crunchbase: Not found",Yes
Testimonial IQ,https://www.testimonialiq.com,"AI-powered platform founded in 2021 that helps businesses collect, manage, and showcase customer testimonials to boost credibility and sales[3].","Andrew Johnson, Shivakar Vulli","Incubator/accelerator rounds, $120,000 to $600,000, Techstars, The Founders Arena WealthTech Accelerator, Frazier Group, 2021",2021,"$120,000 to $600,000","Techstars, The Founders Arena WealthTech Accelerator, Frazier Group","Denver, CO",Not found,"linkedin: Not found, crunchbase: Not found",Yes
HYVV,https://hyvv.com,"AI-powered operating system for launching startups, providing tools for business planning, marketing, legal, and hiring, all in one platform. Founded in 2022 and based in Fort Collins[4].","Rob Schachte, Paul Smith, Danilo Nerez","Series A: $1.3 million, Acadian Capital Ventures (Pre-Seed investor), Year: Not specified",Not specified,$1.3 million,Acadian Capital Ventures,"Fort Collins, CO","5316 West Crestview Lane, Fort Collins, Colorado, 80526, United States","linkedin: Not found, crunchbase: Not found",Yes
Madwire,https://www.madwire.com,Provides an all-in-one marketing technology platform for businesses to optimize campaigns and streamline operations. Headquartered in Fort Collins and recognized for rapid growth and innovation[10].,"JB Kellogg, Joe Kellogg","[{'round': 'Series A', 'amount': '$5.5 million', 'lead_investors': ['Copley Equity Partners', 'Cypress Growth Capital'], 'year': '2014'}, {'round': 'Private Equity', 'amount': 'Not specified', 'lead_investors': ['Granite Creek Partners'], 'year': '2024'}]",2024-07,$31 million,"Copley Equity Partners, Cypress Growth Capital, Granite Creek Partners","Fort Collins, CO","3405 S Timberline Rd, Fort Collins, Colorado 80525","linkedin: https://linkedin.com/company/madwire, crunchbase: https://crunchbase.com/organization/madwire-media",Yes
Numerica Corporation,https://www.numerica.us,"Specializes in defense technology, offering advanced solutions in air and missile defense, space domain awareness, and data analytics. Based in Fort Collins[10].","Aubrey Poore, Jeff Poore, Nenad Rijavec","[{'round': 'Loan', 'amount': '$1.5 million', 'year': '2020'}, {'round': 'Funding Round', 'amount': '$150,000', 'year': '2013'}, {'round': 'SBIR/STTR Awards', 'amount': '$24 million', 'year': 'Not specified'}]",2020,$1.5 million,,"Fort Collins, CO","5042 Technology Parkway, Suite 100, Fort Collins, Colorado, 80528, United States","linkedin: Not found, crunchbase: Not found",Yes
Encompass Technologies,https://encompasstech.com,"Cloud-based ERP software provider for the beverage distribution industry, offering solutions for inventory, sales, and logistics. Headquartered in Fort Collins[4].",Jonathan O’Neil,"Private Equity, undisclosed amount, Cove Hill Partners, 2022-02",2022-02,Not found,"Cove Hill Partners, Orchestra Software","Fort Collins, CO","420 Linden Street, Suite 200, Fort Collins, Colorado, 80524","linkedin: https://linkedin.com/company/3678326, crunchbase: Not found",Yes
SummitStone Health Partners,https://www.summitstonehealth.org,"Behavioral health startup delivering mental health and addiction recovery services, using innovative care models. Based in Fort Collins[4].",Not found,"No Series A/B/C or venture capital funding. Funding sources include federal, state, and local government grants; charitable contributions; program service revenue.",2023,$6.9 million (from significant government grants),,"Fort Collins, CO","4856 Innovation Dr Ste B, Fort Collins, Colorado, 80525, United States","youtube: https://www.youtube.com/@summitstonehealthpartners/shorts, linkedin: Not found, crunchbase: Not found",Yes
Quantum Metric,https://www.quantummetric.com,"Provides a digital experience analytics platform for enterprises; founded by technical founder Mario Ciabarra, raised $200M in VC funding, and is Colorado Springs’ first unicorn[5].","Mario Ciabarra, David Wang","[{'round': 'Seed', 'amount': '$1 million', 'lead_investor': 'Bain Capital Ventures', 'year': 2017}, {'round': 'Series A', 'amount': '$25 million', 'lead_investor': 'Insight Partners', 'year': 2018}, {'round': 'Debt', 'amount': '$25 million', 'lead_investor': 'Not publicly disclosed', 'year': 2020}, {'round': 'Series B', 'amount': '$200 million', 'lead_investor': 'Insight Partners', 'year': 2021}]",2021-01,$251 million,"Bain Capital Ventures, Insight Partners, Endeavor Catalyst, Silicon Valley Bank","Colorado Springs, CO","10807 New Allegiance Dr, Ste 155, Colorado Springs, CO 80921, USA","linkedin: Not found, crunchbase: Not found",Yes
Bluestaq,https://www.bluestaq.com,"Develops advanced software systems for government and commercial clients, specializing in data management and integration; recognized as an emerging tech startup in Colorado Springs[6].","Dr. Seth Harvey, Dr. Rebecca Decker, Andy Hofle","[{'round': 'Private Equity', 'amount': '$50 million', 'lead_investor': 'One Bow River', 'year': '2025'}, {'round': 'Strategic Investment', 'amount': 'Undisclosed', 'lead_investor': ""The O'Neil Group"", 'year': 'Undisclosed'}, {'round': 'Early Funding', 'amount': '<$5 million', 'lead_investor': 'Various/Unclear', 'year': 'Pre-2025'}]",2025,$50 million,"One Bow River, The O'Neil Group","Colorado Springs, CO","2 North Cascade Avenue, Suite 100, Colorado Springs, Colorado 80903, United States","linkedin: Not found, crunchbase: Not found",Yes
FoodMaven,https://www.foodmaven.com,Operates a tech-enabled food distribution platform focused on reducing food waste; has raised substantial funding and is among the most funded startups in Colorado Springs[14].,"Patrick Bultema, Ben Deda","[{'round': 'Series A', 'amount': '$8.6 million', 'lead_investors': ['Walton family', 'Walter Robb'], 'year': '2017'}, {'round': 'Bridge/Extension Round', 'amount': '$10 million', 'lead_investors': ['Tao Capital Partners', 'Walton family'], 'year': '2019'}, {'round': 'Series B', 'amount': '$15.3 million', 'lead_investors': ['Tao Capital Partners', 'Fine Line Group', 'Sasha and Ed Bass family office'], 'year': '2020'}]",2020,$34.4 million,"Tao Capital Partners, Walton family, Fine Line Group, Sasha and Ed Bass family office, Walter Robb","Denver, CO","PO Box 6844, Denver, Colorado, 80206, United States","linkedin: Not found, crunchbase: Not found",Yes
Altia,https://www.altia.com,"Provides graphical user interface (GUI) development tools for embedded systems, founded by engineers and backed by investors; serves automotive and medical device industries[4].","Mike Juran, Tom Walton","2 rounds: $2.3 million total funding, latest round on August 4, 2022.",2022-08,$2.3 million,,"Colorado Springs, CO","111 S. Tejon Street, Suite 204, Colorado Springs, Colorado 80903, United States","linkedin: https://www.linkedin.com/company/altia-inc/, crunchbase: https://www.crunchbase.com/organization/altia",Yes
BurstIQ,https://www.burstiq.com,"Offers blockchain-based data solutions for healthcare, enabling secure data exchange and analytics; founded by technologists and has received investor funding[4].","Frank Ricotta, Brian Jackson","[{'round': 'Seed', 'amount': '$250,000', 'year': '2015'}, {'round': 'Seed', 'amount': '$125,000', 'year': '2016'}, {'round': 'Series A', 'amount': '$5.5 million', 'lead_investor': 'Elsewhere Partners', 'year': '2019'}, {'round': 'Venture', 'amount': '$605,600', 'year': '2022'}]",2022-06,$10.8 million,Elsewhere Partners,"Englewood, CO","9635 Maroon Circle, Suite 310, Englewood, CO 80112, United States","linkedin: Not found, crunchbase: Not found",Yes
Salt Athletic,https://saltathletic.com,"Develops smart athletic gear and wearable technology, attracting investor attention and founded by a technical team[3].","Rafael de la Vega, Joaquin Sanchez de Lozada, Jackson Love","Seed round, $982,000, investors: Exponential Impact, MassChallenge, March 2025",2025-03,"$982,000","Exponential Impact, MassChallenge","Colorado Springs, CO","Colorado Springs, CO 80923, USA","linkedin: Not found, crunchbase: Not found",Yes
Infinite 8 Industries,https://infinite8industries.com,"Focuses on AI and digital transformation solutions, recognized for technological innovation and investor interest in Colorado Springs[3].",Ean Mikale,"Pre-Seed round, amount not disclosed, May 1, 2020",2020-05,Not found,,"Colorado Springs, CO","2751 East San Miguel Street, Colorado Springs, CO 80909","linkedin: Not found, crunchbase: Not found",Yes
8Bit-Corp LLC,https://8bit-corp.com,"Provides technology solutions for small businesses, founded by technologists and active in the Colorado Springs startup ecosystem[9].",Forrest Garcia,Not found,Not found,Not found,,"Fountain, CO","1 Taos Cir, PO BOX 2023, Fountain, CO 80817-2103","linkedin: Not found, crunchbase: Not found",Yes
