company_name,url,description,founders,location_city,location_state,location,headquarters,linkedin_url,crunchbase_url,total_funding_normalized,total_funding,num_funding_rounds,funding_stage_progression,latest_round,latest_round_amount,latest_round_date,latest_funding_date,years_since_last_funding,total_investor_count,lead_investors,all_investors,key_investors,notable_tier1_investors,has_colorado_investors,industry_categories,business_model,company_stage,technology_focus,target_market,colorado_connection
Cloverleaf AI,https://www.cloverleaf.ai,Provides AI-powered media monitoring and intelligence solutions for organizations; recently raised seed funding and expanding quickly[1].,"Adam Zucker, Jeremy Becker",Denver,CO,"Denver, CO","600 N Grant St Ste 650, Denver, Colorado, 80203",,,$2.8M,$2.8 million,1,Seed,Seed,$2.8M,2024-11,2024-11,1,4,Jackson Square Ventures,"Jackson Square Ventures, First Mile, TechStars, Legal Tech Fund","Jackson Square Ventures, First Mile, TechStars, Legal Tech Fund",,No,"AI, Media Monitoring, Intelligence Solutions",B2B SaaS,Seed,AI/ML,Government,High
Codiga,https://www.codiga.io,"Offers a coding assistant tool that helps developers find code snippets within their IDE, enhancing productivity for software engineers. Founded in 2019 in Denver by Julien Delange[11].",Julien Delange,Westminster,CO,"Westminster, CO","3957 West 118th Place, Westminster, Colorado, 80031, United States",,,$2.22M,$2.22 million,1,Seed,Seed,$2.1M,2022-02,2022-02,3,9,"Draper Cygnus, LAUNCH, The Syndicate","Draper Cygnus, LAUNCH, The Syndicate, Olivier Pomel, Jeff Lunsford, MGV Capital, 2.12 Angels, Service Provider Capital, Techstars Ventures","Draper Cygnus, LAUNCH, The Syndicate, Olivier Pomel, Jeff Lunsford, MGV Capital, 2.12 Angels, Service Provider Capital, Techstars Ventures",,No,"Software, Productivity, Developer Tools",B2B SaaS,Seed,Software Development Tools,"Enterprise, SMB",High
Cologix,https://cologix.com,A data center and interconnection solutions provider with a strong technical founding team and significant growth in Colorado[9][6].,"Grant van Rooyen, Trent Vichie",Denver,CO,"Denver, CO","1601 19th St, Suite 650, Denver, CO 80202, United States",https://www.linkedin.com/company/cologix-inc/,,$2.025B,$1.5 billion,2,Unknown,Asset-backed securitization,$525M,2024-05,2023-10,1,1,Stonepeak Infrastructure Partners,Stonepeak Infrastructure Partners,Stonepeak Infrastructure Partners,,No,"Data Centers, Interconnection Solutions, Cloud Services",B2B Infrastructure Services,Growth,"Cloud Infrastructure, Networking",Enterprise,High
Colorado Impact Fund,https://coloradoimpactfund.com,Denver-based VC firm investing in high-growth Colorado companies with scalable business models and a commitment to community impact[5].,"Jim Kelley, Ryan Heckman",Denver,CO,"Denver, CO","1555 Blake Street, Suite 200, Denver, Colorado, 80202, United States",,,$80M,$80 million,3,Seed → Series A → Series B,Series B,$5.1M,Unknown,2022,-1,8,Not found,"Trinity Ventures, Three Leaf Ventures, Sand Hill Angels, Intel Capital, Kairos Ventures, High Country Venture, University Ventures, Grotech Ventures","Trinity Ventures, Three Leaf Ventures, Sand Hill Angels, Intel Capital, Kairos Ventures, High Country Venture, University Ventures, Grotech Ventures",,No,"Clean Energy, Education, Healthcare, Technology",Venture Capital,Growth,CleanTech,High-growth Colorado companies,High
Cosmic Aerospace,https://www.cosmicaerospace.com,"Developing all-electric regional aircraft with proprietary propulsion and airframe technologies, targeting a 24-passenger Skylark jet for service by end of decade",Christopher Chahine,Centennial,CO,"Centennial, CO",Not found,,,$4.5M,$4.5 million,1,Seed,Seed,$4.5M,2024-02,2024-02,1,0,,,,,No,"Aerospace, CleanTech",Hardware,Seed,"CleanTech, Aerospace",Consumer,High
Cowboy Clean Fuels,https://cowboycleanfuels.com,Commercializes renewable natural gas production by converting agricultural waste; secured $13 million in Series B funding in July 2024[5].,"Ryan Waddington, Dr. Michael Urynowicz, Noah Yates",Greenwood Village,CO,"Greenwood Village, CO","5680 Greenwood Plaza Blvd, Suite 500, Greenwood Village, CO 80111",,,$20M,$20 million,2,Series A → Series B,Series B,$13M,2024-07,2024-07,1,2,Machan Investments,"Machan Investments, Wyoming Energy Authority","Machan Investments, Wyoming Energy Authority",,No,"CleanTech, Renewable Energy",B2B,Growth,CleanTech,Enterprise,High
Credit Pulse,https://www.creditpulse.com/,Credit Pulse offers data-driven credit risk analytics and decisioning tools for lenders and financial institutions.,Jordan Esbin,Denver,CO,"Denver, CO",Not found,,,Unknown,Not found,1,Seed,Seed,Unknown,2024,2024,1,2,Amplo,"Amplo, Purdue Strategic Ventures","Amplo, Purdue Strategic Ventures",,No,"FinTech, Analytics",B2B SaaS,Seed,AI/ML,Financial Institutions,High
Crusoe,https://www.crusoe.ai,"AI data center company, Colorado-based, raised $600 million backed by PayPal founder Peter Thiel","Chase Lochmiller, Cully Cavness",Denver,CO,"Denver, CO",Not found,,,$600M,$600 million,1,Series A,Series A,$600M,2021,2021,4,1,Peter Thiel,Peter Thiel,Peter Thiel,,No,"AI, Data Centers, Cloud Computing",B2B SaaS,Growth,"AI/ML, Cloud Infrastructure",Enterprise,High
Crusoe Energy,https://www.crusoeenergy.com,"Uses excess natural gas to power modular data centers, reducing flaring and supporting sustainable computing[3].","Chase Lochmiller, Cully Cavness",Denver,CO,"Denver, CO","1641 California St, Suite 400, Denver, Colorado, 80202, United States",,,$1.3B,$1.3 billion,4,Series A → Series B → Series C → Series D,Series D,$600M,2024,2024,1,7,"G2 Venture Partners, Valor Equity Partners, Founders Fund, Bain Capital Ventures, KCK Group","Founders Fund, Bain Capital Ventures, KCK Group, Winklevoss Capital, Polychain Capital, Dragonfly Capital Partners, Wicklow Capital, Valor Equity Partners, G2 Venture Partners","Founders Fund, Bain Capital Ventures, Valor Equity Partners, G2 Venture Partners, Winklevoss Capital, Polychain Capital",,No,"CleanTech, AI, Data Centers",B2B SaaS,Growth,"CleanTech, AI/ML",Enterprise,High
Crusoe Energy Systems,https://www.crusoe.ai,"AI infrastructure company based in Colorado with a $10B valuation, focused on energy-efficient computing","Chase Lochmiller, Cully Cavness",Denver,CO,"Denver, CO",Not found,,,$1.375B,$1.375 billion,1,Series B,Series B,$1.375B,2025-10,2025-10,0,0,,,,,No,"AI, Infrastructure, Energy",B2B SaaS,Growth,"AI/ML, CleanTech",Enterprise,High
Dapix (now known as FIO Protocol),https://fioprotocol.io,Blockchain protocol focused on usability and interoperability for digital assets[1].,David Gold,Denver,CO,"Denver, CO",Not found,https://www.linkedin.com/company/fioprotocol/,,$5.7M,$5.7 million,1,Series A,Series A,$5.7M,2019,2019,6,7,Binance Labs,"Binance Labs, Blockwall Capital, NGC Ventures, LuneX Ventures, Access Venture Partners, Dundee Venture Capital, First Mile Ventures","Binance Labs, Blockwall Capital, NGC Ventures, LuneX Ventures, Access Venture Partners, Dundee Venture Capital, First Mile Ventures",,Yes,"Blockchain, Digital Assets, FinTech",B2B SaaS,Early Growth,Blockchain,Consumer,High
DatAvail,https://www.datavail.com,"Provides managed services for databases, analytics, and cloud infrastructure, serving enterprise clients; Boulder Ventures portfolio company[2].",Not found,Boulder,CO,"Boulder, CO","4770 Baseline Rd, Suite 200, Boulder, Colorado, 80303, United States",https://www.linkedin.com/company/datavail/,,$74.19M,$74.19M,3,Series B → Series C → Growth,Growth,$47M,2015,2015,10,6,"Boulder Ventures, Meritage Funds, Montis Capital, Catalyst Investors","Boulder Ventures, Meritage Funds, Montis Capital, Catalyst Investors, Tahosa Capital Partners, Lumerity Capital Partners","Boulder Ventures, Meritage Funds, Montis Capital, Catalyst Investors, Tahosa Capital Partners, Lumerity Capital Partners",,Yes,"Managed Services, Cloud Infrastructure, Data Analytics",B2B Services,Growth,"Cloud, Data, AI/ML",Enterprise,High
DaVita,https://www.davita.com,DaVita is a healthcare company specializing in kidney care and dialysis services. Kent Thiry is the former CEO and board member[5].,Not a single founder,Denver,CO,"Denver, CO","2000 16th Street, Denver, CO 80202",https://www.linkedin.com/company/davita,https://www.crunchbase.com/organization/davita,$183.5M,$183.5 million,2,Leveraged Buyout → IPO,IPO,$107M,1995,1995,30,3,DLJ Merchant Banking Partners,"DLJ Merchant Banking Partners, Berkshire Hathaway, The Vanguard Group, BlackRock","Berkshire Hathaway, The Vanguard Group, BlackRock",,No,"Healthcare, Kidney Care, Dialysis Services",B2C Healthcare,Mature,Healthcare Services,Consumer,High
Defense Unicorns,https://defenseunicorns.com,"Provides open source software delivery and AI solutions for government agencies; raised Series A ($35M, 2024)[4].","Rob Slaughter, Jeff McCoy, Andrew Greene",Colorado Springs,CO,"Colorado Springs, CO","555 East Pikes Peak Avenue, Suite 114, Colorado Springs, Colorado 80903, United States",,,$35M,$35M,1,Series A,Series A,$35M,2024-03,2024-03,1,2,"Sapphire Ventures, Ansa Capital","Sapphire Ventures, Ansa Capital","Sapphire Ventures, Ansa Capital",,No,"AI, Government Software, Open Source",B2G SaaS,Early Growth,"AI/ML, DevSecOps",Government,High
Delta-v Capital,https://www.deltavcapital.com,"A Boulder-based growth equity firm investing in leading software and internet infrastructure companies, providing flexible capital and strategic support for scaling businesses.","Rand Lewis, Dave Schaller",Denver,CO,"Denver, CO","3001 Brighton Blvd., Suite 450, Denver, Colorado 80216",https://www.linkedin.com/company/delta-v-capital,,$300M,$0.3 billion,2,Series B → Series C,Series C,$100M,2024-03,2024-03,1,1,Delta-v Capital,Delta-v Capital,,,Yes,"Software, Internet Infrastructure",B2B SaaS,Growth,"Software, Cloud Services",Enterprise,High
DifferentKind,https://www.differentkind.com,"Colorado health tech company focused on mental health solutions, recently funded (Series Unknown, but in the healthcare tech sector)[1].","Dr. Matthew Allen, DDS, Dr. Carolyn Brown, DDS, MEd",Buena Vista,CO,"Buena Vista, CO","301 East Main Street, Suite 210, Buena Vista, Colorado, 81211, United States",https://www.linkedin.com/company/differentkind,,$0.155M,"$155,000",1,Unknown,Growth funding,$0.155M,2023-02,2023-02,2,2,"CORI Innovation Fund II, Local angel investors","CORI Innovation Fund II, Local angel investors","CORI Innovation Fund II, Local angel investors",,Yes,"Health Tech, Mental Health, Data Analytics",B2B SaaS,Growth,"Data Analytics, Health Tech",Healthcare Providers,High
DispatchHealth,https://www.dispatchhealth.com,"Provides in-home medical care, delivering urgent and acute healthcare services directly to patients’ homes to reduce ER visits and improve outcomes[1].","Dr. Mark Prather, Kevin Riddleberger, PA-C, MBA",Denver,CO,"Denver, CO","3455 Ringsby Ct, Suite 101-C, Denver, Colorado, 80216",https://www.linkedin.com/company/dispatchhealth,https://www.crunchbase.com/organization/dispatchhealth,$740M,$740 million,5,Series A → Series B → Series C → Series D → Series E,Series E,$259M,2022-11,2022-11,3,10,"Optum Ventures, Echo Health Ventures, Humana, Alta Partners, Tiger Global Management","Optum Ventures, Echo Health Ventures, Humana, Alta Partners, Tiger Global Management, Oak HC/FT, Adams Street Partners, Blue Shield of California, Olayan Group, Pegasus Tech Ventures, Questa Capital","Optum Ventures, Echo Health Ventures, Humana, Alta Partners, Tiger Global Management, Oak HC/FT, Adams Street Partners, Blue Shield of California, Olayan Group, Pegasus Tech Ventures, Questa Capital",,No,"Healthcare, Telemedicine, Home Healthcare",B2C Healthcare,Growth,HealthTech,Consumer,High
Elenas,https://www.elenas.com,"Social commerce platform empowering women entrepreneurs in Latin America, Colorado-based and recently raised funding[7].",Zach Oschin,Bogotá,CO,"Bogotá, Colombia","Calle 74 No. 11 - 91, Bogotá, Colombia",,https://crunchbase.com/organization/elenas,$28M,$28 million,3,Seed → Series A → Series B,Series B,$20M,2022,2022,3,8,"DILA Capital, FJ Labs, Leo Capital","Meesho, Alpha4 Ventures, Amador Holdings, Polymath Ventures, Leo Capital, FJ Labs, Endeavor Catalyst, IDB Lab, Broadhaven Ventures, Mercado Libre, Grupo Bolivar, DILA Capital","Meesho, Alpha4 Ventures, Leo Capital, FJ Labs, DILA Capital",,No,"Social Commerce, E-commerce, Technology",Marketplace,Growth,E-commerce Technology,Consumer,High
Elevate Quantum,https://elevatequantum.com,"An innovation hub and accelerator supporting quantum technology startups, with technical founders and a rapidly expanding presence in Colorado’s deep tech ecosystem[7].","Zachary Yerushalmi, Corban Tillemann-Dick",Boulder,CO,"Boulder, CO",Not found,,,$127.5M,$127.5 million,1,Unknown,Unknown,Unknown,2024-07,2024-07,1,1,"U.S. Department of Commerce, Colorado State Government, New Mexico State Government","U.S. Department of Commerce, Colorado State Government, New Mexico State Government",,,Yes,"Quantum Technology, Deep Tech",Accelerator,Early Growth,Quantum Technology,"Startups, Government",High
Ello,https://ello.co,"A social network for creators, artists, and creative communities focused on privacy and ad-free experiences. Founded by Paul Budnitz, Todd Berger, and Lucian Föhr.","Paul Budnitz, Todd Berger, Lucian Föhr",Boulder,CO,"Boulder, CO","1100 Spruce Street, Suite 104, Boulder, Colorado, United States, 80302",,,$15.5M,$15–15.5 million,2,Seed → Series A,Series A,$15.5M,2023,2023,2,10,"Goodwater Capital, Homebrew, Reed Hastings, Ravensburger","Goodwater Capital, Homebrew, Reed Hastings, Ravensburger, Project A, Y Combinator, WndrCo, Reach Capital, Visible Ventures, Khosla Ventures, Common Sense Growth/Media","Goodwater Capital, Homebrew, Reed Hastings, Ravensburger, Project A, Y Combinator, WndrCo, Reach Capital, Visible Ventures, Khosla Ventures, Common Sense Growth/Media",,No,"Social Media, Online Communities, Privacy-focused Platforms",Consumer,Early Growth,Social Networking,Consumers,High
Encompass Technologies,https://encompasstech.com,"Cloud-based ERP software provider for the beverage distribution industry, offering solutions for inventory, sales, and logistics. Headquartered in Fort Collins[4].",Jonathan O’Neil,Fort Collins,CO,"Fort Collins, CO","420 Linden Street, Suite 200, Fort Collins, Colorado, 80524",https://linkedin.com/company/3678326,,Unknown,Not found,1,Private Equity,Private Equity,Unknown,2022-02,2022-02,3,2,Cove Hill Partners,"Cove Hill Partners, Orchestra Software","Cove Hill Partners, Orchestra Software",,No,"ERP, Software, Cloud Computing",B2B SaaS,Growth,Cloud Computing,Enterprise,High
Enveda Biosciences,https://envedabio.com,"Biotechnology company using AI and metabolomics to discover new medicines from natural products; raised Series B ($55M, 2024) and Series C ($130M, 2024)[3].","Viswa Colluru, PhD",Boulder,CO,"Boulder, CO","5700 Flatiron Parkway, Boulder, CO 80301, United States",,,$517M,$517M,4,Series B → Series C → Series C (extension) → Series D,Series D,$150M,2025-09,2025-09,0,10,"Kinnevik, FPV, Sanofi, Premji Invest","Kinnevik, FPV, Baillie Gifford, Premji Invest, Lingotto Innovation, Lux Capital, Dimension Capital, True Ventures, Cresset Partners, The Nature Conservancy, Henry R. Kravis","Kinnevik, FPV, Baillie Gifford, Premji Invest, Lingotto Innovation, Lux Capital, Dimension Capital, True Ventures, Cresset Partners, The Nature Conservancy, Henry R. Kravis",,No,"Biotechnology, AI, Drug Discovery",B2B Biotech,Growth,"Biotech, AI/ML",Healthcare,High
EverCommerce,https://www.evercommerce.com,"Offers a suite of vertical SaaS solutions for service-based businesses, supporting operations, marketing, and customer retention for enterprises[16].",Eric Remer,Denver,CO,"Denver, CO","3601 Walnut Street, Suite 400, Denver, Colorado, 80205, United States",,,$455M,$455 million,2,Pre-IPO → IPO,IPO,$324.7M,2021-07,2021-07,4,5,"Providence Equity Partners, Silver Lake, Susquehanna Growth Equity","Providence Equity Partners, Silver Lake, Susquehanna Growth Equity, Aurionpro Solutions, Escalate Capital Partners","Providence Equity Partners, Silver Lake, Susquehanna Growth Equity, Aurionpro Solutions, Escalate Capital Partners",,No,"SaaS, Service-based Businesses, Technology",B2B SaaS,Late Stage,Software Solutions,SMB,High
Everside Health,https://www.eversidehealth.com,Everside Health offers direct primary care and onsite/near-site health clinics for employers. Acquired Marathon Health in 2024. Dan Caruso is a board member; founder details are public via Endeavor Co,Not found,Denver,CO,"Denver, CO","1400 Wewatta Street, Suite 350, Denver, Colorado 80202",,,Unknown,Not found,1,Growth Equity,Growth Equity,$164M,2022-07,2022-07,3,4,New Enterprise Associates (NEA),"New Enterprise Associates (NEA), Oak HC/FT, Alta Partners, Endeavor Catalyst","New Enterprise Associates (NEA), Oak HC/FT, Alta Partners, Endeavor Catalyst",,No,"Healthcare, Primary Care, Health Clinics",B2B Healthcare Services,Growth,Healthcare Technology,Employers,High
Evolve,https://www.evolve.com,"Provides a SaaS platform for vacation rental management, serving property owners and managers (B2B); VC-backed[1][8].","Brian Egan, Adam Sherry",Denver,CO,"Denver, CO","717 17th Street, Suite 2100, Denver, CO 80202",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,"SaaS, Vacation Rental Management",B2B SaaS,Unknown,Unknown,Property Owners and Managers,High
Factor[e] Ventures,https://www.factore.com,"Impact-focused VC firm supporting startups in energy, agriculture, mobility, and waste, with an emphasis on decarbonized solutions for emerging markets[5].","Morgan DeFoort, Jason Prapas",Fort Collins,CO,"Fort Collins, CO","430 N College Ave, Suite 300, Fort Collins, Colorado 80524, United States",https://www.linkedin.com/company/ampersand-energy/posts/?feedView=all,,Unknown,Not found,2,Seed,Seed,$0.75M,2024-08,2024-08,1,3,"Factor[e] Ventures, Norrsken Impact Accelerator, Ventures Platform","Factor[e] Ventures, Norrsken Impact Accelerator, Ventures Platform, Shell Foundation, Autodesk Foundation","Shell Foundation, Autodesk Foundation",,No,"Energy, Agriculture, Mobility, Waste",Venture Capital,Seed,"Decarbonized Solutions, CleanTech",Emerging Markets,High
FirstMile Ventures,https://www.firstmilevc.com,"Early-stage venture capital firm based in Colorado and Texas, partnering with founders to build transformative companies across diverse industries[3][11].","Bill Miller, Aaron Stachel",Colorado Springs,CO,"Colorado Springs, CO","630 Southpointe Court, Suite 200, Colorado Springs, CO 80906, United States",https://www.linkedin.com/company/firstmile-ventures,,$27M,$27 million,2,Seed,Seed,$21M,2021,2021,4,4,Colorado Venture Capital Authority,"Colorado Venture Capital Authority, successful entrepreneurs, venture capitalists, technology executives","Colorado Venture Capital Authority, successful entrepreneurs, venture capitalists, technology executives",,Yes,"Venture Capital, Technology, Startups",Venture Capital,Early Growth,Technology,Startups,High
Flatfile,https://www.flatfile.com,"Denver, Colorado-based data exchange platform company. Raised nearly $100 million in total funding, including a $50 million Series B round in September 2022 led by Tiger Global. Provides API-first data migration and onboarding solutions for enterprises.",Not found,Denver,CO,"Denver, CO",Not found,,,$100M,$100M,3,Seed → Series A → Series B,Series B,$50M,2022-09,2022-09,3,1,Tiger Global,"Y Combinator, Tiger Global",Tiger Global,,No,"Data Exchange, API, SaaS",B2B SaaS,Growth,AI,Enterprise,High
Fluint,https://www.fluint.io,"AI-driven sales collaboration platform founded in 2021, helping teams close deals faster; raised $2.4M in VC funding[2].","Nate Nasralla, Jon Crawley",Denver,CO,"Denver, CO","1900 Grant Street, Ste 510, Denver, CO 80203",https://www.linkedin.com/company/fluint,https://www.crunchbase.com/organization/fluint,$4M,$4M,2,Seed,Seed,$2.4M,2025-08,2025-08,0,0,,,,,No,"AI, Sales, SaaS",B2B SaaS,Early Growth,AI/ML,Enterprise,High
FoodMaven,https://www.foodmaven.com,Operates a tech-enabled food distribution platform focused on reducing food waste; has raised substantial funding and is among the most funded startups in Colorado Springs[14].,"Patrick Bultema, Ben Deda",Denver,CO,"Denver, CO","PO Box 6844, Denver, Colorado, 80206, United States",,,$34.4M,$34.4 million,3,Series A → Bridge/Extension Round → Series B,Series B,$15.3M,2020,2020,5,5,"Tao Capital Partners, Walton family, Fine Line Group, Sasha and Ed Bass family office","Walton family, Walter Robb, Tao Capital Partners, Fine Line Group, Sasha and Ed Bass family office","Tao Capital Partners, Walton family, Fine Line Group, Sasha and Ed Bass family office, Walter Robb",,No,"Food Tech, Distribution, Sustainability",Marketplace,Growth,AI,B2B,High
Foresight Diagnostics,https://foresight-dx.com,"Biotechnology company specializing in ultra-sensitive cancer detection and monitoring using advanced genomics; raised Series B ($33M, 2024)[3].","Jake Chabon, PhD, David Kurtz, MD, PhD, Max Diehn, MD, PhD",Boulder,CO,"Boulder, CO","2865 Wilderness Place, Boulder, CO 80301, United States",,,$86M,$86 million,2,Series A → Series B,Series B,$33M,2024-07,2024-07,1,7,"Foresite Capital, Civilization Ventures, Bluebird Ventures","Foresite Capital, Civilization Ventures, Bluebird Ventures, Pear Ventures, Agent Capital, Stanford University, University of Colorado Healthcare Innovation Fund","Foresite Capital, Civilization Ventures, Bluebird Ventures, Pear Ventures, Agent Capital, Stanford University, University of Colorado Healthcare Innovation Fund",,Yes,"Biotechnology, Healthcare, Diagnostics",B2B Biotech,Growth,"Biotech, Genomics",Healthcare,High
Forge Nano,https://www.forgenano.com,"Specializes in advanced materials and nanotechnology, providing atomic layer deposition solutions for various industries[3].","Paul Lichty, Dave King",Thornton,CO,"Thornton, CO","12300 Grant St #110, Thornton, CO 80241, United States",,,$140M,$140 million,2,Series A → Series D,Series D,$40M,2025-04,2025-04,0,13,"RockCreek, Ascent Funds, Top Material, Orion Infrastructure Capital","GM Ventures, LG Technology Ventures, Hanwha Corporate Venture Capital, Mitsui Kinzoku, Sumitomo Corporation of Americas, Air Liquide, Catalus Capital, SBI Investment, Volkswagen, OIC, RockCreek, Ascent Funds, Top Material, Orion Infrastructure Capital","GM Ventures, LG Technology Ventures, Hanwha Corporate Venture Capital, Mitsui Kinzoku, Sumitomo Corporation of Americas, Air Liquide, Catalus Capital, SBI Investment, Volkswagen, OIC, RockCreek, Ascent Funds, Top Material, Orion Infrastructure Capital",,No,"Advanced Materials, Nanotechnology, Energy, Defense",B2B Hardware,Growth,"Nanotechnology, CleanTech","Industrial, Government",High
Foundry Group,https://www.foundry.vc,"Boulder-based venture capital firm managing over $3 billion, investing in early-stage technology, internet, and software startups, with a strong focus on innovation and community[3][11].","Brad Feld, Seth Levine, Ryan McIntyre, Jason Mendelson",Boulder,CO,"Boulder, CO","1050 Walnut Street, Suite 210, Boulder, Colorado 80302, United States",,,$3.5B,$3.5 billion,3,Seed → Series A → Series B,Series B,$50M,2008,2023-05,17,5,Foundry Group,"Foundry Group, Ignition Partners, True Ventures, Spark Capital, Techstars Ventures, Oak Investment Partners","Ignition Partners, True Ventures, Spark Capital, Techstars Ventures, Oak Investment Partners",,Yes,"Technology, Internet, Software",Venture Capital,Mature,Innovation,Startups,High
Four Points Funding,https://fourpointsfunding.com,Four Points Funding is a venture capital firm investing in rural Colorado startups. Stephanie Copeland is a managing partner[5].,"Chris Montgomery, Shawn Bertini, Amanda Montgomery, Stephanie Copeland",Steamboat Springs,CO,"Steamboat Springs, CO","345 Lincoln Ave #206, Steamboat Springs, Colorado 80487",,,$270M,$270M,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,1,Accredited investors,Accredited investors,Accredited investors seeking Opportunity Zone tax benefits,,Yes,"Venture Capital, Real Estate, Hospitality",Investment Firm,Growth,Unknown,"Startups, Real Estate Development",High
Friday Health Plans,https://fridayhealthplans.com,Colorado-based health insurance company led by Sal Gentile and David Pinkert,"Sal Gentile, David Pinkert",Denver,CO,"Denver, CO","c/o Oklahoma Receivership Office, Inc., 13900 N. Portland, Suite 102, Oklahoma City, OK 73134",,,Unknown,Not found,0,Unknown,Unknown,Unknown,Unknown,Not found,-1,0,,,,,No,Health Insurance,Consumer,Mature,Unknown,Consumer,High
FullContact,https://www.fullcontact.com,"Offers identity resolution and contact management solutions for businesses, helping them unify customer data and improve engagement. Founded by Bart Lorang.","Bart Lorang, Travis Todd, Dan Lynn",Denver,CO,"Denver, CO","1624 Market St #226, Denver, CO 80202, United States",,,$55M-$56.5M,$55–56.5M,3,Series A → Series B → Growth/Later,Growth/Later,$25M,2016,2016,9,7,"Foundry Group, Baird Capital, Techstars, Jove Equity Partners","Foundry Group, Baird Capital, Shea Ventures, Blue Note Ventures, 500 Startups, Techstars, Jove Equity Partners","Foundry Group, Baird Capital, Shea Ventures, Blue Note Ventures, 500 Startups, Techstars, Jove Equity Partners",,Yes,"Identity Resolution, Contact Management, SaaS",B2B SaaS,Growth,"Data Management, AI",Businesses,High
FusionAuth,https://fusionauth.io,"Offers developer-focused authentication and authorization solutions, including multifactor authentication and user management for enterprise applications[1][3][5].",Brian Pontarelli,Westminster,CO,"Westminster, CO","11080 Circle Point Rd #405, Westminster, CO 80020, United States",https://www.linkedin.com/company/fusionauth/,,$65M,$65 million,1,Unknown,Growth equity round,$65M,2023-11,2023-11,2,1,Updata Partners,Updata Partners,Updata Partners,,No,"Authentication, Cybersecurity, SaaS",B2B SaaS,Growth,Identity Management,Enterprise,High
Gloo,https://www.gloo.com,Boulder-based technology platform connecting churches with congregations that raised $110 million in funding in July 2024 to accelerate platform development and AI system creation for the faith ecosystem.,Not found,Boulder,CO,"Boulder, CO",Not found,,,$110M,$110 million,1,Series A,Series A,$110M,2024-07,2024-07,1,0,Unknown,Unknown,"N, o, t,  , f, o, u, n, d",,No,"Technology, Faith-Based Services",B2B SaaS,Early Growth,AI,Religious Organizations,High
Govly,https://www.govly.com,Colorado-based government technology company that raised funding in November 2023.,"Mike Weiland, Nick Weiland, Jon Wright",Colorado,CO,"Colorado, USA",Not found,https://www.linkedin.com/company/govly/,,$9.5M,$9.5 million,1,Series A,Series A,$9.5M,2023-11,2023-11,2,0,,,,,No,"Government Technology, SaaS",B2B SaaS,Early Growth,AI,Government,High
Greater Colorado Venture Fund,https://greatercolorado.vc,"VC fund investing in high-growth startups and deep tech companies in rural Colorado, aiming to build sustainable communities[11].","Cory Finney, Marc Nager, Jamie Finney",Telluride,CO,"Telluride, CO","136 Country Club Dr Ste 200, Telluride, Colorado, 81435",,,$42.5M,$42.5 million,2,Seed → Fund II,Fund II,$25M,2023,2023,2,4,"State of Colorado, Not specified","State of Colorado, Limited Partners, Advisors, Matching Donors","State of Colorado, Limited Partners, Advisors, Matching Donors",,Yes,"Deep Tech, Startups, AgTech",Venture Capital,Early Growth,"DeepTech, AI/ML",Startups,High
Greenmont Capital Partners,https://www.greenmontcapital.com,"Invests in early-stage companies in the natural products sector, particularly those aligned with health and sustainability markets[2][3][7].","Mark Retzloff, Todd Woloson",Boulder,CO,"Boulder, CO","1634 Walnut Street, Suite 301, Boulder, Colorado 80302",http://linkedin.com/pub/david-haynes/14/131/4b8,,Unknown,Not found,1,Series A,Series A,$3.25M,2012,2012,13,3,Greenmont Capital Partners,"Greenmont Capital Partners, Sherbrooke Capital, Renewal Funds, NewWest Capital Partners","Sherbrooke Capital, Renewal Funds, NewWest Capital Partners",,Yes,"Natural Products, Health, Sustainability",Consumer,Early Growth,Unknown,Consumer,High
Growlink,https://www.growlink.com/,"Growlink offers smart irrigation and automation solutions for agriculture, helping growers optimize water use and crop yields.","Ted Tanner, David Holmes",Denver,CO,"Denver, CO","1675 Larimer Street, Suite 820, Denver, Colorado, 80202",,,$2M,$2 million,1,Seed,Seed,$2M,2024-08,2024-08,1,1,Casa Verde,Casa Verde,Casa Verde,,No,"Agriculture, Technology, Automation",B2B SaaS,Seed,"Smart Irrigation, Automation",Commercial Cultivators,High
Guild Education,https://www.guild.com,"Partners with employers to provide education benefits and upskilling opportunities for employees, helping companies attract and retain talent while advancing workforce education[1].","Rachel Romer, Brittany Stich, Chris Romer",Denver,CO,"Denver, CO","370 17th Street, Suite 300, Denver, Colorado 80202, United States",,,$69.5M,$69.5 million,3,Series A → Series B → Series C,Series C,$40M,2018-07,2018-07,7,10,"Redpoint Ventures, Bessemer Venture Partners, Felicis Ventures","Redpoint Ventures, Social Capital, Harrison Metal, Cowboy Ventures, Bessemer Venture Partners, Felicis Ventures, Salesforce Ventures, Workday Ventures, Silicon Valley Bank, Rethink Impact & Education","Redpoint Ventures, Social Capital, Harrison Metal, Cowboy Ventures, Bessemer Venture Partners, Felicis Ventures, Salesforce Ventures, Workday Ventures, Silicon Valley Bank, Rethink Impact & Education",,No,"Education Technology, Workforce Development",B2B SaaS,Growth,Education Technology,Enterprise,High
